Unnamed: 0,ingredient,name_unit,unit_kg,simple_ingredient
7289,falafel,unitaire,0.04,falafel
7295,houmous,càs,0.015,houmous
7327,chocolat blanc,g,0.001,chocolat blanc
7332,boisson végétale noisette,cl,0.01,boisson végétale noisette
7351,pain de mie (complet),tran.,0.03,pain de mie
7366,jus de pêche,cl,0.01,jus de pêche
7376,bœuf (pavé),unitaire,0.225,boeuf
7381,filet de saumon,g,0.001,filet de saumon
7404,skyr,càs,0.015,skyr
7437,haricot vert (conserve),g,0.001,haricot vert
7438,béchamel,càs,0.015,béchamel
7461,petits pois (conserve),g,0.001,petits pois
7470,julienne de légumes (surgelés),g,0.001,julienne de légumes
7471,riz (cuit),g,0.001,riz
7489,sardine au piment,g,0.001,sardine au piment
7498,taco kit,unitaire,0.4,taco kit
7505,crousti' taco kit,unitaire,0.5,crousti' taco kit
7513,sirop de pêche,cl,0.01,sirop de pêche
7514,sirop de menthe,cl,0.01,sirop de menthe
